year,time,zone,BA,Unit Name,Unit Type,Description,nameplate_MW,Primary Fuel,State,County
2020,74,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,75,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,76,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,77,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,78,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,79,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,80,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,81,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,82,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,83,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,84,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,85,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,86,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,87,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,88,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,89,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,90,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,91,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,92,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,93,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,94,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,95,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,96,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,97,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,98,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,99,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,100,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,101,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,102,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,103,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,104,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,105,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,106,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,107,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,108,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,109,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,110,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,111,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,112,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,113,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,114,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,115,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,116,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,117,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,118,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,119,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
